"","Artistic","Conventional","Enterprising","Investigative","Realistic","Social","income","X5","title"
"1","11","61","100","45","83","11","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.03","11-9013.03 - Aquacultural Managers"
"2","11","83","89","6","50","28","$28.09 hourly, $58,430 annual","https://www.onetonline.org/link/details/13-1021.00","13-1021.00 - Buyers and Purchasing Agents, Farm Products"
"3","6","67","100","28","95","11","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.02","11-9013.02 - Farm and Ranch Managers"
"4","0","22","100","0","33","33","$16.90 hourly, $35,160 annual","https://www.onetonline.org/link/details/13-1074.00","13-1074.00 - Farm Labor Contractors"
"5","28","61","100","22","83","28","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.01","11-9013.01 - Nursery and Greenhouse Managers"
"6","6","67","100","28","95","11","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.02","11-9013.02 - Farm and Ranch Managers"
"7","11","61","100","45","83","11","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.03","11-9013.03 - Aquacultural Managers"
"8","28","61","100","22","83","28","$31.91 hourly, $66,360 annual","https://www.onetonline.org/link/details/11-9013.01","11-9013.01 - Nursery and Greenhouse Managers"
"9","6","28","28","45","95","0","$17.16 hourly, $35,690 annual","https://www.onetonline.org/link/details/45-2021.00","45-2021.00 - Animal Breeders"
"10","22","33","17","100","72","0","$29.01 hourly, $60,330 annual","https://www.onetonline.org/link/details/19-1011.00","19-1011.00 - Animal Scientists"
"11","0","22","6","6","100","0","$11.79 hourly, $24,520 annual","https://www.onetonline.org/link/details/45-2093.00","45-2093.00 - Farmworkers, Farm, Ranch, and Aquacultural Animals"
"12","0","72","33","22","95","39","$10.57 hourly, $21,990 annual","https://www.onetonline.org/link/details/39-2021.00","39-2021.00 - Nonfarm Animal Caretakers"
"13","11","72","17","78","100","0","$23.64 hourly, $49,170 annual","https://www.onetonline.org/link/details/17-3025.00","17-3025.00 - Environmental Engineering Technicians"
