"","artistic","conventional","enterprising","investigative","realisitc","social","income","link","full_title","career_cluster","career_pathway","soc","title","link2"
"1",100,0,33,11,72,39,28500,"https://www.onetonline.org/link/details/27-2031.00","27-2031.00 - Dancers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2031.00","Dancers","https://www.onetonline.org/link/details/27-2031.00"
"2",95,11,61,6,28,33,34980,"https://www.onetonline.org/link/details/27-2011.00","27-2011.00 - Actors","Arts, Audio/Video Technology & Communications","Performing Arts","27-2011.00","Actors","https://www.onetonline.org/link/details/27-2011.00"
"3",100,0,56,0,11,28,53920,"https://www.onetonline.org/link/details/27-2042.01","27-2042.01 - Singers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.00","Musicians and Singers","https://www.onetonline.org/link/details/27-2042.01"
"4",95,0,50,6,28,17,53920,"https://www.onetonline.org/link/details/27-2042.02","27-2042.02 - Musicians, Instrumental","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.00","Musicians and Singers","https://www.onetonline.org/link/details/27-2042.02"
"5",95,0,50,6,28,17,53920,"https://www.onetonline.org/link/details/27-2042.02","27-2042.02 - Musicians, Instrumental","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.02","Musicians, Instrumental","https://www.onetonline.org/link/details/27-2042.02"
"6",100,0,56,0,11,28,53920,"https://www.onetonline.org/link/details/27-2042.01","27-2042.01 - Singers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.01","Singers","https://www.onetonline.org/link/details/27-2042.01"
"7",0,100,72,17,67,22,19820,"https://www.onetonline.org/link/details/39-3011.00","39-3011.00 - Gaming Dealers","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3011.00","Gaming Dealers","https://www.onetonline.org/link/details/39-3011.00"
"8",6,95,50,0,78,39,20180,"https://www.onetonline.org/link/details/35-3021.00","35-3021.00 - Combined Food Preparation and Serving Workers, Including Fast Food","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food","https://www.onetonline.org/link/details/35-3021.00"
"9",0,50,50,0,78,45,20320,"https://www.onetonline.org/link/details/39-5093.00","39-5093.00 - Shampooers","Human Services","Personal Care Services","39-5093.00","Shampooers","https://www.onetonline.org/link/details/39-5093.00"
"10",6,67,61,0,56,67,20820,"https://www.onetonline.org/link/details/39-3031.00","39-3031.00 - Ushers, Lobby Attendants, and Ticket Takers","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","https://www.onetonline.org/link/details/39-3031.00"
"11",22,67,72,0,56,78,20820,"https://www.onetonline.org/link/details/35-3031.00","35-3031.00 - Waiters and Waitresses","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3031.00","Waiters and Waitresses","https://www.onetonline.org/link/details/35-3031.00"
"12",6,33,83,0,33,56,20930,"https://www.onetonline.org/link/details/35-9031.00","35-9031.00 - Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","https://www.onetonline.org/link/details/35-9031.00"
"13",6,95,56,0,28,28,21030,"https://www.onetonline.org/link/details/41-2011.00","41-2011.00 - Cashiers","Marketing","Professional Sales","41-2011.00","Cashiers","https://www.onetonline.org/link/details/41-2011.00"
"14",0,78,33,11,95,28,21040,"https://www.onetonline.org/link/details/35-2011.00","35-2011.00 - Cooks, Fast Food","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2011.00","Cooks, Fast Food","https://www.onetonline.org/link/details/35-2011.00"
