url,career_cluster,career_pathway,SOC,job_title,title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,income,csm.Title,csm.O.NET.SOC.Code,csm.degree,csm.closeness,csm.betweenness,ccm.Title,ccm.O.NET.SOC.Code,ccm.degree,ccm.closeness,ccm.betweenness
https://www.onetonline.org/link/details/11-1011.00,Business Management & Administration,General Management,11-1011.00,Chief Executives,11-1011.00 - Chief Executives,28,72,100,17,6,45,181210,Chief Executives,11-1011.00,11,0.000243605,48.94075633,Chief Executives,11-1011.00,10,0.000272851,682.5763083
https://www.onetonline.org/link/details/11-1011.03,Business Management & Administration,General Management,11-1011.03,Chief Sustainability Officers,11-1011.03 - Chief Sustainability Officers,28,56,100,56,0,22,181210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-1021.00,Business Management & Administration,General Management,11-1021.00,General and Operations Managers,11-1021.00 - General and Operations Managers,0,45,100,6,6,39,99310,General and Operations Managers,11-1021.00,11,0.000266525,344.0431513,General and Operations Managers,11-1021.00,22,0.000326052,4879.240968
https://www.onetonline.org/link/details/11-1031.00,Government & Public Administration,Governance,11-1031.00,Legislators,11-1031.00 - Legislators,45,33,100,45,0,61,23470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-2011.00,Marketing,Marketing Management,11-2011.00,Advertising and Promotions Managers,11-2011.00 - Advertising and Promotions Managers,72,61,100,17,11,22,100810,Advertising and Promotions Managers,11-2011.00,15,0.000269614,281.5733612,Advertising and Promotions Managers,11-2011.00,16,0.000269542,398.4308942
https://www.onetonline.org/link/details/11-2011.01,Marketing,Marketing Management,11-2011.01,Green Marketers,11-2011.01 - Green Marketers,56,33,72,72,0,22,100810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-2021.00,Marketing,Marketing Management,11-2021.00,Marketing Managers,11-2021.00 - Marketing Managers,45,72,100,22,0,28,131180,Marketing Managers,11-2021.00,19,0.000270197,639.4635079,Marketing Managers,11-2021.00,21,0.000281057,1585.142542
https://www.onetonline.org/link/details/11-2022.00,Marketing,Marketing Management,11-2022.00,Sales Managers,11-2022.00 - Sales Managers,17,61,100,17,33,45,117960,Sales Managers,11-2022.00,14,0.000279955,308.1184338,Sales Managers,11-2022.00,12,0.00027533,422.6122837
https://www.onetonline.org/link/details/11-2031.00,Marketing,Marketing Management,11-2031.00,Public Relations and Fundraising Managers,11-2031.00 - Public Relations and Fundraising Managers,67,45,100,6,6,45,107320,Public Relations and Fundraising Managers,11-2031.00,18,0.000263227,362.4034971,Public Relations and Fundraising Managers,11-2031.00,18,0.000265675,408.3984195
https://www.onetonline.org/link/details/11-3011.00,Business Management & Administration,Operations Management,11-3011.00,Administrative Services Managers,11-3011.00 - Administrative Services Managers,0,72,100,22,17,28,90050,Administrative Services Managers,11-3011.00,13,0.000300391,389.755387,Administrative Services Managers,11-3011.00,23,0.000315457,3554.98748
https://www.onetonline.org/link/details/11-3021.00,Business Management & Administration,Business Information Management,11-3021.00,Computer and Information Systems Managers,11-3021.00 - Computer and Information Systems Managers,11,72,95,56,50,11,135800,Computer and Information Systems Managers,11-3021.00,11,0.000285878,673.6985591,Computer and Information Systems Managers,11-3021.00,11,0.000276855,959.8020629
https://www.onetonline.org/link/details/11-3031.01,Finance,Business Finance,11-3031.01,Treasurers and Controllers,11-3031.01 - Treasurers and Controllers,0,100,83,28,11,28,121750,Treasurers and Controllers,11-3031.01,12,0.000262329,121.6696433,Treasurers and Controllers,11-3031.01,10,0.00024432,66.38085707
https://www.onetonline.org/link/details/11-3031.01,Finance,Business Finance,11-3031.00,Financial Managers,11-3031.01 - Treasurers and Controllers,0,100,83,28,11,28,121750,Treasurers and Controllers,11-3031.01,12,0.000262329,121.6696433,Treasurers and Controllers,11-3031.01,10,0.00024432,66.38085707
https://www.onetonline.org/link/details/11-3031.02,Finance,Business Finance,11-3031.02,"Financial Managers, Branch or Department","11-3031.02 - Financial Managers, Branch or Department",6,67,100,11,11,39,121750,"Financial Managers, Branch or Department",11-3031.02,14,0.000260688,179.593816,"Financial Managers, Branch or Department",11-3031.02,13,0.000249252,130.0591395
https://www.onetonline.org/link/details/11-3031.02,Finance,Business Finance,11-3031.00,Financial Managers,"11-3031.02 - Financial Managers, Branch or Department",6,67,100,11,11,39,121750,"Financial Managers, Branch or Department",11-3031.02,14,0.000260688,179.593816,"Financial Managers, Branch or Department",11-3031.02,13,0.000249252,130.0591395
https://www.onetonline.org/link/details/11-3051.00,Business Management & Administration,Operations Management,11-3051.00,Industrial Production Managers,11-3051.00 - Industrial Production Managers,6,83,100,22,28,39,97140,Industrial Production Managers,11-3051.00,17,0.00030021,1211.846803,Industrial Production Managers,11-3051.00,15,0.000328731,7524.402667
https://www.onetonline.org/link/details/11-3051.01,Business Management & Administration,Operations Management,11-3051.01,Quality Control Systems Managers,11-3051.01 - Quality Control Systems Managers,6,78,100,39,56,17,97140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-3051.02,Business Management & Administration,Operations Management,11-3051.02,Geothermal Production Managers,11-3051.02 - Geothermal Production Managers,17,78,100,39,45,11,97140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
